GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
app,com.shopwise.app.service,SaleServiceImpl,163,9,2,0,36,4,9,1,8,1
app,com.shopwise.app.service,RecommendationServiceImpl,82,9,2,0,10,4,5,1,4,1
app,com.shopwise.app.service,ProductServiceImpl,87,9,2,0,17,4,8,1,7,1
app,com.shopwise.app.mapper,ProductMapperImpl,101,3,10,0,30,1,9,1,4,1
app,com.shopwise.app.controller,RecommendationController,0,19,0,0,0,5,0,3,0,3
app,com.shopwise.app.controller,ProductController,41,6,0,0,10,3,5,1,5,1
app,com.shopwise.app.controller,SaleController,5,20,0,0,1,5,1,3,1,3
app,com.shopwise.app.exception,CustomExceptionHandler,15,34,0,0,5,9,2,4,2,4
app,com.shopwise.app.exception,NotFoundException,12,0,0,0,6,0,3,0,3,0
app,com.shopwise.app.dto.request,CreateSaleRequest,3,7,0,0,1,2,1,2,1,2
app,com.shopwise.app.dto.request,SaleItemRequest,6,11,0,0,2,3,2,3,2,3
app,com.shopwise.app.dto.request,CreateProductRequest,24,0,0,0,11,0,7,0,7,0
app,com.shopwise.app.dto.request,UpdateProductRequest,24,0,0,0,11,0,7,0,7,0
app,com.shopwise.app.dto.response,ProductResponse,45,0,0,0,20,0,13,0,13,0
app,com.shopwise.app.dto.response,SaleItemResponse,0,38,0,0,0,11,0,11,0,11
app,com.shopwise.app.dto.response,SaleResponse,0,31,0,0,0,9,0,9,0,9
app,com.shopwise.app.dto.response,RecommendationResponse,19,27,0,0,5,10,5,5,5,5
app,com.shopwise.app.entity,SaleItem,35,3,0,0,10,1,10,1,10,1
app,com.shopwise.app.entity,Sale,21,8,0,0,6,2,6,1,6,1
app,com.shopwise.app.entity,Product,80,3,0,0,27,1,14,1,14,1
app,com.shopwise.app.config,SecurityConfig,0,203,0,0,0,28,0,8,0,8
app,com.shopwise.app,AppApplication,5,3,0,0,2,1,1,1,1,1
